commodity,model,MAE,RMSE,MAPE_%,sMAPE_%,R2,skill_vs_naive_%
Onion,SARIMA,2.1823677686976075,2.7086658564468524,2.967684386709847,2.973603151911809,0.8667231302512493,-53.18444796660795
Onion,XGBoost,1.884225484213606,2.366729697815166,2.5654132390537043,2.576598469264412,0.8982484021260848,-32.25728714648617
Onion,LSTM,2.2395958188616256,2.7513041117752572,3.0665734700714444,3.0545545268541563,0.8624941700587976,-57.20139112271592
Onion,Seasonal Naive,1.4246666666666663,1.7612788914119568,1.9156344600460518,1.929320491731747,0.9436491881108355,0.0
Potato,SARIMA,0.7094698475549774,0.9272457071505381,1.9582237481297955,1.9555427848483156,0.9154516085468537,-20.9896471434353
Potato,XGBoost,0.9974429489450178,1.2536210681010196,2.790827367224202,2.784541433516549,0.8454573869516303,-70.09922388451277
Potato,LSTM,0.8330725956468544,1.0546879354033025,2.3194995006297376,2.3178045407239414,0.8906135210451833,-42.06827779861091
Potato,Seasonal Naive,0.5863888888888888,0.7398457046348698,1.5871628860241724,1.5966335206288547,0.9461732695994198,0.0
Soybean_Oil,SARIMA,1.7447649988957823,2.160448735424728,0.8998745004805568,0.8996009652426138,0.8881937141639603,10.284608409632357
Soybean_Oil,XGBoost,1.489507887036001,1.8380659685718324,0.7695545890940101,0.7691302439362817,0.9190716887374044,23.409866975238437
Soybean_Oil,LSTM,1.5904307092474652,2.064582331510184,0.8207056211749277,0.8193358775383432,0.897896012684914,18.220440020412532
Soybean_Oil,Seasonal Naive,1.9447777777777768,2.422721839401112,1.0019309982447109,1.0044026954217788,0.8593999749701261,0.0
